0,1,2,3,4,5,6,7,8,9
56778.0,1951.0,3.0,23.8,806.9,13.3,8.3,60.0,999999.0,14.4
56778.0,1951.0,4.0,2.8,806.0,16.4,9.1,55.0,999999.0,1.3
56778.0,1951.0,5.0,100.9,807.0,18.0,13.2,69.0,999999.0,14.9
56778.0,1951.0,6.0,167.5,804.7,19.0,17.1,80.0,999999.0,38.7
56778.0,1951.0,7.0,207.7,805.7,19.6,18.7,83.0,999999.0,47.9
56778.0,1951.0,8.0,138.0,806.1,19.2,18.4,84.0,999999.0,33.9
56778.0,1951.0,9.0,105.8,810.1,16.5,15.6,84.0,999999.0,38.8
56778.0,1951.0,10.0,58.9,810.4,15.1,14.0,83.0,999999.0,34.8
56778.0,1951.0,11.0,33.0,810.8,11.4,9.8,77.0,999999.0,20.0
56778.0,1951.0,12.0,25.0,811.8,7.2,8.0,82.0,999999.0,9.3
56778.0,1952.0,1.0,1.0,809.4,7.7,6.8,72.0,999999.0,0.9
56778.0,1952.0,2.0,12.3,807.1,10.3,7.3,66.0,999999.0,9.6
56778.0,1952.0,3.0,19.9,806.7,12.5,8.2,62.0,278.5,15.2
56778.0,1952.0,4.0,22.8,807.5,15.8,10.7,65.0,288.5,8.3
56778.0,1952.0,5.0,171.7,805.5,19.7,15.2,70.0,298.4,53.1
56778.0,1952.0,6.0,263.4,805.9,18.9,17.8,83.0,168.8,40.3
56778.0,1952.0,7.0,154.5,804.6,19.7,18.9,84.0,175.9,52.0
56778.0,1952.0,8.0,215.7,806.6,18.9,18.3,85.0,151.7,43.5
56778.0,1952.0,9.0,55.0,809.1,18.0,16.5,81.0,133.2,21.9
56778.0,1952.0,10.0,72.8,811.5,15.4,14.6,84.0,118.5,17.7
56778.0,1952.0,11.0,11.2,809.6,12.1,10.6,80.0,277.6,9.0
56778.0,1952.0,12.0,0.9,811.7,7.2,7.1,75.0,219.5,0.3
56778.0,1953.0,1.0,9.1,809.1,8.5,7.5,74.0,270.0,7.3
56778.0,1953.0,2.0,31.4,809.6,10.0,8.1,72.0,253.8,26.2
56778.0,1953.0,3.0,18.3,807.2,13.4,8.7,63.0,257.4,18.2
56778.0,1953.0,4.0,1.6,807.0,17.0,10.0,57.0,284.6,1.1
56778.0,1953.0,5.0,93.5,806.6,17.8,14.2,73.0,231.2,33.3
56778.0,1953.0,6.0,185.4,807.6,19.6,17.6,79.0,147.0,59.0
56778.0,1953.0,7.0,110.5,807.7,20.1,19.0,82.0,174.8,46.0
56778.0,1953.0,8.0,84.8,808.3,20.0,18.6,82.0,253.7,16.3
56778.0,1953.0,9.0,77.4,812.3,16.5,15.5,84.0,101.5,25.4
56778.0,1953.0,10.0,150.9,812.5,15.7,14.5,84.0,204.0,68.7
56778.0,1953.0,11.0,16.1,814.1,11.6,10.7,81.0,221.0,7.5
56778.0,1953.0,12.0,10.9,813.9,8.3,8.4,80.0,218.4,999805.2
56778.0,1954.0,1.0,0.1,809.3,9.0,5.9,56.0,304.6,0.1
56778.0,1954.0,2.0,1.9,809.8,11.1,7.4,60.0,266.1,1.5
56778.0,1954.0,3.0,12.5,811.0,12.1,7.9,60.0,247.0,3.1
56778.0,1954.0,4.0,13.1,808.4,17.8,10.0,52.0,283.2,8.4
56778.0,1954.0,5.0,111.8,807.8,19.9,15.2,68.0,247.5,42.5
56778.0,1954.0,6.0,206.1,806.5,19.6,18.2,80.0,125.7,33.6
56778.0,1954.0,7.0,174.3,806.2,20.1,19.2,83.0,89.0,29.1
56778.0,1954.0,8.0,342.6,807.5,19.4,18.9,84.0,151.3,70.9
56778.0,1954.0,9.0,184.4,810.4,18.7,17.5,82.0,179.1,59.7
56778.0,1954.0,10.0,51.7,813.7,15.3,14.2,82.0,153.0,11.5
56778.0,1954.0,11.0,1.0,813.3,12.5,10.1,71.0,270.9,1.0
56778.0,1954.0,12.0,6.0,812.5,9.0,8.5,76.0,212.3,6.0
56778.0,1955.0,1.0,11.9,814.4,6.9,6.9,72.0,215.1,999809.1
56778.0,1955.0,2.0,0.0,808.2,11.3,6.6,53.0,275.3,999990.0
56778.0,1955.0,3.0,15.1,809.6,14.4,8.9,58.0,279.0,4.7
56778.0,1955.0,4.0,2.5,809.2,16.7,10.1,56.0,280.9,1.2
56778.0,1955.0,5.0,18.1,808.0,20.3,14.4,62.0,257.9,7.2
56778.0,1955.0,6.0,220.0,807.7,18.8,17.2,80.0,113.8,62.3
56778.0,1955.0,7.0,165.5,806.8,19.9,18.8,82.0,112.7,57.8
56778.0,1955.0,8.0,191.8,808.9,19.1,17.8,81.0,155.3,30.3
56778.0,1955.0,9.0,89.9,811.8,18.9,17.0,79.0,232.8,30.9
56778.0,1955.0,10.0,77.6,813.7,15.3,14.4,83.0,114.4,36.7
56778.0,1955.0,11.0,178.9,814.8,10.1,10.2,83.0,130.3,36.3
56778.0,1955.0,12.0,0.5,812.7,7.2,6.6,68.0,260.4,0.2
56778.0,1956.0,1.0,6.6,809.3,6.4,6.5,70.0,214.2,2.4
56778.0,1956.0,2.0,0.0,808.8,11.3,6.6,54.0,278.6,999990.0
56778.0,1956.0,3.0,19.0,809.5,14.1,8.0,53.0,283.7,999809.1
56778.0,1956.0,4.0,14.9,808.6,18.1,10.1,52.0,288.9,10.1
56778.0,1956.0,5.0,155.5,808.3,18.2,16.1,78.0,150.8,26.6
56778.0,1956.0,6.0,118.2,806.9,19.8,17.7,78.0,145.0,20.4
56778.0,1956.0,7.0,129.4,808.1,19.8,18.0,79.0,182.7,25.9
56778.0,1956.0,8.0,199.5,808.4,19.5,17.8,79.0,180.8,47.3
56778.0,1956.0,9.0,47.7,810.9,18.0,15.2,74.0,188.3,11.4
56778.0,1956.0,10.0,103.1,814.9,14.4,13.1,80.0,135.7,28.6
56778.0,1956.0,11.0,46.1,814.8,11.2,10.9,82.0,128.4,9.9
56778.0,1956.0,12.0,12.6,813.5,8.8,8.2,75.0,253.3,6.4
56778.0,1957.0,1.0,24.3,810.5,9.1,7.1,65.0,282.2,24.3
56778.0,1957.0,2.0,11.2,809.1,9.0,6.3,59.0,226.1,8.1
56778.0,1957.0,3.0,14.1,810.1,13.4,8.2,57.0,288.8,6.2
56778.0,1957.0,4.0,24.1,809.4,17.1,9.6,53.0,269.9,8.8
56778.0,1957.0,5.0,62.8,807.9,19.5,11.6,54.0,272.2,20.6
56778.0,1957.0,6.0,319.5,807.5,18.4,17.2,81.0,119.5,85.0
56778.0,1957.0,7.0,210.4,806.9,20.2,19.4,83.0,124.1,82.2
56778.0,1957.0,8.0,198.6,809.1,18.9,17.8,82.0,186.3,39.3
56778.0,1957.0,9.0,306.1,811.8,17.7,17.2,86.0,155.4,153.3
56778.0,1957.0,10.0,83.8,814.3,13.5,12.2,80.0,182.4,16.6
56778.0,1957.0,11.0,4.2,813.7,12.0,9.1,68.0,271.2,4.2
56778.0,1957.0,12.0,35.6,812.1,9.2,7.5,68.0,251.3,35.6
56778.0,1958.0,1.0,3.6,812.8,8.1,6.5,64.0,238.8,2.7
56778.0,1958.0,2.0,7.9,810.8,7.6,6.7,68.0,160.0,3.7
56778.0,1958.0,3.0,5.5,810.4,14.7,7.3,47.0,287.2,5.5
56778.0,1958.0,4.0,2.0,810.0,17.7,10.2,54.0,281.3,0.6
56778.0,1958.0,5.0,13.5,808.3,20.8,12.9,55.0,280.8,8.7
56778.0,1958.0,6.0,255.7,807.4,20.1,17.7,77.0,142.1,52.6
56778.0,1958.0,7.0,271.3,806.7,19.5,19.0,85.0,133.7,36.6
56778.0,1958.0,8.0,180.2,809.4,18.5,18.1,86.0,119.5,43.1
56778.0,1958.0,9.0,88.7,811.0,17.2,15.5,80.0,174.7,34.1
56778.0,1958.0,10.0,33.3,814.2,14.2,13.6,83.0,113.1,8.7
56778.0,1958.0,11.0,10.7,814.4,11.0,9.6,75.0,195.0,4.7
56778.0,1958.0,12.0,3.6,813.1,8.3,7.3,70.0,200.4,2.2
56778.0,1959.0,1.0,17.9,812.0,7.3,6.7,68.0,211.6,12.4
56778.0,1959.0,2.0,41.9,809.7,8.3,6.7,66.0,195.9,999812.2
56778.0,1959.0,3.0,14.3,811.4,11.8,8.5,65.0,263.3,5.3
56778.0,1959.0,4.0,12.5,810.0,17.0,10.6,59.0,258.2,8.2
56778.0,1959.0,5.0,106.6,808.3,18.4,13.6,67.0,222.9,19.3
56778.0,1959.0,6.0,126.3,807.3,20.0,18.0,78.0,201.1,25.2
56778.0,1959.0,7.0,182.4,807.8,19.7,18.5,81.0,194.0,68.1
56778.0,1959.0,8.0,213.1,807.3,19.4,18.8,84.0,209.7,110.4
56778.0,1959.0,9.0,176.2,811.1,16.8,15.8,83.0,154.0,30.3
56778.0,1959.0,10.0,78.6,814.0,14.5,13.5,83.0,137.2,16.3
56778.0,1959.0,11.0,0.0,812.6,11.4,9.1,71.0,288.6,0.0
56778.0,1959.0,12.0,18.3,812.9,9.5,7.8,70.0,257.4,15.9
56778.0,1960.0,1.0,6.6,812.4,8.2,6.5,65.0,250.8,2.8
56778.0,1960.0,2.0,0.8,812.8,9.8,7.4,66.0,201.1,0.3
56778.0,1960.0,3.0,4.0,809.3,13.9,7.2,50.0,299.0,4.0
56778.0,1960.0,4.0,4.2,809.3,16.7,8.9,52.0,267.9,3.7
56778.0,1960.0,5.0,47.1,808.6,19.2,12.6,59.0,244.2,13.6
56778.0,1960.0,6.0,94.2,808.0,20.1,17.8,76.0,181.1,28.7
56778.0,1960.0,7.0,321.1,808.1,19.0,18.5,85.0,133.0,79.7
56778.0,1960.0,8.0,79.4,808.4,19.8,18.6,81.0,239.2,23.1
56778.0,1960.0,9.0,104.8,811.9,17.8,16.4,81.0,194.7,34.3
56778.0,1960.0,10.0,28.0,814.9,15.0,13.6,80.0,159.5,11.7
56778.0,1960.0,11.0,24.6,813.7,12.1,9.3,69.0,246.3,23.2
56778.0,1960.0,12.0,2.4,812.9,8.6,8.0,74.0,202.8,1.4
56778.0,1961.0,1.0,3.7,813.0,8.5,6.7,65.0,250.2,2.6
56778.0,1961.0,2.0,29.5,809.2,9.2,7.5,68.0,173.2,15.4
56778.0,1961.0,3.0,24.7,810.9,12.4,8.2,61.0,264.3,7.5
56778.0,1961.0,4.0,16.9,809.7,16.2,10.0,58.0,291.3,6.4
56778.0,1961.0,5.0,92.1,809.7,18.6,13.3,65.0,214.8,32.6
56778.0,1961.0,6.0,139.7,808.0,20.1,17.3,74.0,245.7,38.5
56778.0,1961.0,7.0,296.1,807.1,20.0,19.2,83.0,173.5,68.1
56778.0,1961.0,8.0,172.1,808.4,19.2,18.8,85.0,193.6,39.4
56778.0,1961.0,9.0,158.5,810.8,17.5,16.2,82.0,208.2,44.2
56778.0,1961.0,10.0,202.5,813.7,16.2,14.9,82.0,187.8,85.3
56778.0,1961.0,11.0,79.6,814.8,10.9,9.5,75.0,227.1,27.7
56778.0,1961.0,12.0,39.4,812.9,7.5,7.3,73.0,222.2,20.9
56778.0,1962.0,1.0,15.0,811.6,5.9,7.0,77.0,174.1,999810.8
56778.0,1962.0,2.0,4.5,812.5,9.5,7.6,68.0,233.3,3.4
56778.0,1962.0,3.0,7.3,810.9,11.7,7.8,61.0,250.7,3.1
56778.0,1962.0,4.0,37.0,809.9,16.5,10.3,58.0,276.6,11.4
56778.0,1962.0,5.0,47.4,808.8,19.1,13.4,63.0,277.7,17.8
56778.0,1962.0,6.0,209.4,808.1,18.9,17.1,79.0,106.9,44.3
56778.0,1962.0,7.0,212.6,807.1,20.5,19.8,83.0,212.4,42.8
56778.0,1962.0,8.0,232.7,810.4,18.8,18.5,86.0,143.7,52.2
56778.0,1962.0,9.0,63.4,812.5,17.4,15.9,81.0,200.7,16.7
56778.0,1962.0,10.0,56.3,814.2,15.3,14.3,83.0,161.4,10.8
56778.0,1962.0,11.0,0.4,813.6,11.1,9.2,72.0,238.3,0.2
56778.0,1962.0,12.0,2.3,813.8,7.6,7.0,70.0,231.6,1.7
56778.0,1963.0,1.0,11.1,813.1,5.2,6.0,71.0,183.2,999806.6
56778.0,1963.0,2.0,1.3,812.5,8.6,6.4,62.0,239.6,1.0
56778.0,1963.0,3.0,6.1,811.0,12.3,7.8,58.0,287.0,2.9
56778.0,1963.0,4.0,0.5,809.9,16.3,8.8,51.0,295.6,0.4
56778.0,1963.0,5.0,12.7,808.0,20.7,12.2,53.0,335.9,8.5
56778.0,1963.0,6.0,141.4,809.2,19.1,16.7,76.0,181.4,42.2
56778.0,1963.0,7.0,274.0,807.3,19.9,19.3,83.0,153.8,85.4
56778.0,1963.0,8.0,176.5,809.4,18.8,18.7,87.0,188.3,30.0
56778.0,1963.0,9.0,72.7,811.8,18.4,17.4,83.0,240.9,43.7
56778.0,1963.0,10.0,147.0,815.4,13.9,13.5,85.0,121.0,33.8
56778.0,1963.0,11.0,31.3,814.0,11.1,9.8,77.0,247.7,10.6
56778.0,1963.0,12.0,8.8,813.5,7.7,7.5,74.0,234.1,999807.5
56778.0,1964.0,1.0,1.8,810.2,7.9,6.3,63.0,280.9,1.8
56778.0,1964.0,2.0,12.9,811.2,9.0,7.1,67.0,243.4,999804.1
56778.0,1964.0,3.0,24.1,811.3,12.2,8.1,61.0,307.5,999822.0
56778.0,1964.0,4.0,26.4,809.3,16.9,10.5,58.0,275.9,999822.5
56778.0,1964.0,5.0,163.2,810.0,18.2,15.5,75.0,199.3,61.2
56778.0,1964.0,6.0,126.7,807.1,19.6,17.9,79.0,160.8,24.6
56778.0,1964.0,7.0,332.2,808.2,19.4,18.7,84.0,161.9,87.8
56778.0,1964.0,8.0,215.3,808.0,19.3,18.8,85.0,198.9,52.6
56778.0,1964.0,9.0,57.2,811.3,18.3,17.7,85.0,200.7,19.9
56778.0,1964.0,10.0,57.5,813.2,16.2,15.3,84.0,169.5,12.5
56778.0,1964.0,11.0,12.9,814.7,11.3,10.7,80.0,153.8,4.2
56778.0,1964.0,12.0,7.6,813.3,6.5,7.4,78.0,183.1,999806.1
56778.0,1965.0,1.0,19.8,812.2,6.8,6.7,72.0,236.9,999812.1
56778.0,1965.0,2.0,11.5,810.2,9.6,6.9,63.0,239.9,999804.8
56778.0,1965.0,3.0,3.2,810.8,12.0,7.4,58.0,297.5,1.6
56778.0,1965.0,4.0,15.1,809.0,16.4,9.8,56.0,287.2,12.2
56778.0,1965.0,5.0,102.1,809.8,18.5,13.3,65.0,224.4,31.2
56778.0,1965.0,6.0,227.2,808.0,19.2,17.8,81.0,114.7,61.2
56778.0,1965.0,7.0,106.4,807.8,19.7,18.5,81.0,188.3,21.7
56778.0,1965.0,8.0,239.9,810.3,17.9,17.4,85.0,159.3,42.6
56778.0,1965.0,9.0,133.5,812.2,17.2,16.4,84.0,116.6,23.2
56778.0,1965.0,10.0,293.4,814.4,14.7,14.6,88.0,138.8,48.7
56778.0,1965.0,11.0,12.3,815.6,10.8,9.3,74.0,237.0,9.2
56778.0,1965.0,12.0,34.2,813.4,9.4,9.2,78.0,187.3,999813.3
56778.0,1966.0,1.0,7.8,812.6,9.2,7.5,68.0,274.8,3.0
56778.0,1966.0,2.0,1.8,810.7,10.4,7.4,62.0,271.8,1.8
56778.0,1966.0,3.0,0.5,808.2,13.6,8.3,57.0,302.4,0.3
56778.0,1966.0,4.0,0.1,808.3,17.5,9.3,50.0,318.1,0.1
56778.0,1966.0,5.0,87.7,809.1,18.4,14.6,71.0,211.9,27.9
56778.0,1966.0,6.0,304.7,808.4,18.3,17.4,83.0,103.3,999847.6
56778.0,1966.0,7.0,184.3,806.9,19.8,19.6,85.0,157.1,21.9
56778.0,1966.0,8.0,396.0,808.8,18.7,18.5,87.0,144.9,81.8
56778.0,1966.0,9.0,176.5,812.6,15.7,15.7,89.0,106.7,28.2
56778.0,1966.0,10.0,119.2,814.4,14.1,13.7,86.0,157.8,23.9
56778.0,1966.0,11.0,13.8,813.5,12.5,10.8,76.0,219.9,6.3
56778.0,1966.0,12.0,8.4,811.4,9.5,7.4,67.0,258.5,2.3
56778.0,1967.0,1.0,9.7,813.3,7.5,7.5,74.0,199.8,5.7
56778.0,1967.0,2.0,2.8,810.6,8.8,7.4,69.0,211.2,2.5
56778.0,1967.0,3.0,8.1,810.1,11.7,8.5,65.0,259.8,3.1
56778.0,1967.0,4.0,51.5,809.6,14.4,10.3,66.0,251.2,12.7
56778.0,1967.0,5.0,21.3,807.7,19.4,14.5,66.0,289.5,10.6
56778.0,1967.0,6.0,166.7,806.9,20.1,16.8,72.0,159.3,54.9
56778.0,1967.0,7.0,146.9,807.1,19.9,19.3,84.0,156.8,34.0
56778.0,1967.0,8.0,116.9,807.7,19.7,19.0,84.0,227.6,20.3
56778.0,1967.0,9.0,116.6,811.1,17.1,16.6,86.0,120.5,32.3
56778.0,1967.0,10.0,117.7,814.2,14.3,13.4,83.0,165.6,42.5
56778.0,1967.0,11.0,93.6,814.3,10.5,10.1,81.0,216.0,20.5
56778.0,1967.0,12.0,12.5,813.5,6.9,7.5,78.0,201.2,999809.6
56778.0,1968.0,1.0,19.7,810.8,7.6,7.2,72.0,999999.0,12.9
56778.0,1968.0,2.0,18.2,809.5,8.3,7.1,67.0,999999.0,999814.1
56778.0,1968.0,3.0,5.3,809.0,13.7,8.4,57.0,999999.0,2.4
56778.0,1968.0,4.0,65.5,811.3,14.7,10.8,67.0,999999.0,20.1
56778.0,1968.0,5.0,50.9,808.2,18.8,13.9,66.0,999999.0,14.2
56778.0,1968.0,6.0,106.9,808.5,19.3,17.2,77.0,999999.0,27.3
56778.0,1968.0,7.0,250.7,807.6,19.9,19.0,82.0,999999.0,69.6
56778.0,1968.0,8.0,167.5,808.1,19.6,19.2,84.0,999999.0,27.5
56778.0,1968.0,9.0,232.9,811.8,18.1,17.3,83.0,999999.0,69.0
56778.0,1968.0,10.0,136.7,813.9,15.2,14.7,86.0,141.9,18.1
56778.0,1968.0,11.0,1.5,814.8,12.4,10.2,74.0,272.1,1.5
56778.0,1968.0,12.0,0.0,812.2,9.1,6.9,65.0,283.9,999990.0
56778.0,1969.0,1.0,10.1,809.5,8.6,6.2,61.0,276.7,7.8
56778.0,1969.0,2.0,1.6,809.4,10.2,5.6,51.0,260.1,0.9
56778.0,1969.0,3.0,3.4,810.3,13.9,8.1,55.0,299.2,3.4
56778.0,1969.0,4.0,6.3,810.6,16.1,9.4,55.0,286.8,2.0
56778.0,1969.0,5.0,29.7,808.5,21.1,13.0,54.0,279.6,29.7
56778.0,1969.0,6.0,117.0,808.3,19.7,17.5,77.0,181.5,49.7
56778.0,1969.0,7.0,314.1,807.7,19.7,19.6,86.0,136.4,41.0
56778.0,1969.0,8.0,194.0,809.5,18.6,18.4,87.0,129.0,40.8
56778.0,1969.0,9.0,109.3,812.2,16.9,16.1,84.0,197.8,40.2
56778.0,1969.0,10.0,30.0,813.9,15.0,12.9,78.0,180.7,10.2
56778.0,1969.0,11.0,21.2,814.4,10.8,9.9,78.0,170.5,9.2
56778.0,1969.0,12.0,8.6,814.1,8.1,7.9,76.0,193.4,3.9
56778.0,1970.0,1.0,11.5,811.6,7.2,6.6,69.0,261.8,999808.5
56778.0,1970.0,2.0,2.3,811.2,9.9,7.0,62.0,258.3,999801.3
56778.0,1970.0,3.0,36.7,808.9,13.3,8.2,58.0,291.5,999822.2
56778.0,1970.0,4.0,72.2,811.4,14.9,11.1,68.0,251.1,34.8
56778.0,1970.0,5.0,67.3,809.5,18.4,14.3,70.0,195.4,24.4
56778.0,1970.0,6.0,141.7,809.2,19.0,17.2,79.0,158.6,29.8
56778.0,1970.0,7.0,257.6,806.7,19.4,19.3,86.0,78.5,47.2
56778.0,1970.0,8.0,159.9,809.5,19.3,18.7,85.0,215.3,67.5
56778.0,1970.0,9.0,98.7,810.7,17.6,16.8,84.0,151.6,58.2
56778.0,1970.0,10.0,40.4,814.6,13.4,12.2,80.0,160.1,15.8
56778.0,1970.0,11.0,72.9,815.1,10.5,10.3,83.0,159.0,15.2
56778.0,1970.0,12.0,66.6,812.4,8.4,8.5,79.0,215.1,26.0
56778.0,1971.0,1.0,20.5,812.0,5.9,6.7,76.0,207.8,999808.5
56778.0,1971.0,2.0,15.5,810.1,7.6,6.6,69.0,224.5,999807.2
56778.0,1971.0,3.0,18.7,811.9,12.1,8.5,65.0,268.7,6.3
56778.0,1971.0,4.0,20.6,810.1,15.9,11.0,65.0,266.5,8.2
56778.0,1971.0,5.0,122.3,809.5,17.8,14.0,71.0,212.6,32.7
56778.0,1971.0,6.0,290.0,807.2,19.5,18.6,83.0,127.3,68.0
56778.0,1971.0,7.0,155.2,807.8,19.0,18.5,85.0,172.0,21.2
56778.0,1971.0,8.0,309.6,809.2,18.0,18.0,88.0,137.2,59.5
56778.0,1971.0,9.0,112.3,811.2,17.6,17.3,86.0,139.8,46.7
56778.0,1971.0,10.0,105.8,815.7,13.3,12.0,79.0,159.3,30.0
56778.0,1971.0,11.0,11.3,816.6,9.4,8.8,75.0,242.4,999804.1
56778.0,1971.0,12.0,7.7,813.8,7.3,7.7,78.0,176.9,3.8
56778.0,1972.0,1.0,5.7,811.8,8.1,7.5,72.0,218.7,2.9
56778.0,1972.0,2.0,6.6,808.4,8.6,7.0,67.0,216.2,3.2
56778.0,1972.0,3.0,17.7,810.9,11.9,8.6,66.0,263.8,999811.3
56778.0,1972.0,4.0,38.3,810.2,14.3,10.3,67.0,232.4,999813.3
56778.0,1972.0,5.0,90.8,808.1,19.1,14.2,66.0,262.1,63.6
56778.0,1972.0,6.0,170.1,808.1,19.7,18.0,79.0,174.0,43.3
56778.0,1972.0,7.0,208.0,806.3,19.8,19.0,83.0,171.7,43.3
56778.0,1972.0,8.0,103.9,809.2,19.0,18.1,83.0,210.5,32.3
56778.0,1972.0,9.0,140.3,812.7,17.0,16.6,86.0,137.3,42.7
56778.0,1972.0,10.0,44.2,814.4,15.9,14.0,79.0,227.1,30.7
56778.0,1972.0,11.0,147.3,814.9,10.9,10.7,84.0,156.7,29.9
56778.0,1972.0,12.0,2.5,812.8,8.3,8.1,76.0,226.6,1.5
56778.0,1973.0,1.0,5.4,810.7,8.1,7.0,69.0,235.5,1.9
56778.0,1973.0,2.0,6.1,811.8,10.8,7.2,60.0,265.1,2.7
56778.0,1973.0,3.0,54.5,811.5,12.7,8.8,64.0,292.3,46.5
56778.0,1973.0,4.0,29.4,808.7,17.3,11.2,60.0,278.4,999816.4
56778.0,1973.0,5.0,133.3,809.0,19.3,16.2,74.0,211.0,33.4
56778.0,1973.0,6.0,246.9,807.5,19.9,18.8,82.0,120.0,63.7
56778.0,1973.0,7.0,277.0,808.0,19.5,18.6,83.0,189.9,999866.4
56778.0,1973.0,8.0,172.8,810.0,18.8,18.4,86.0,166.5,32.8
56778.0,1973.0,9.0,147.0,812.5,17.8,17.1,85.0,147.9,46.1
56778.0,1973.0,10.0,63.2,814.8,15.0,13.7,81.0,126.1,34.5
56778.0,1973.0,11.0,98.7,815.7,10.7,11.0,85.0,114.5,26.5
56778.0,1973.0,12.0,3.0,814.3,7.7,8.0,77.0,201.0,2.3
56778.0,1974.0,1.0,1.9,810.0,6.8,5.9,65.0,277.5,0.5
